depcity,arrcity,brand,marketshare1,price,fritime,citycenter,priced,timed,death,ontime,satisfaction,poll,yrinc,b201,b202,b203,b301,b302,b303,b401,b502,pop_dep,pop_arr,elector,candidates,brand_g,mkt,groupshare,lnmarketshare_g,outshare,mktshare2,mktshare,casualtyrate,casualty,moninc,edu,mayor_arr,city1,city2,city3,city4,city5,city6,city8,city9,city11,city12,city13,city14,city16,mayor_dep,mayor,unemploymentrate_arr,unemploymentrate_dep,houseinc_arr,houseinc_dep,drive,stand,sit,train,HSR,Rail,highway,priced2,houseinc_arr2,houseinc_dep2,unemploymentrate_arr2,unemploymentrate_dep2,death2,ontime2,satisfaction2,fritime2,timed2,poll2,casualtyrate2,moninc2,deathontime,deathsatis,ontimesatis,timedcasual,timedontime,timedsatis,pricedtimed,pop_depontime,pop_depsatis,pop_deptimed,casualtyratesatis,casualtyrateontime,casualsatisontime,deaths,ontimes,satisfactions,prices,fritimes,priceds,timeds,casualtyrates,ontimesatis_2,moninctimed
1,4,302,.00770996,.27024999,3.1175926,6.5042524,.29215008,3.1193993,19.666666,8.1420002,7.7920003,.89999998,677954.5,0,0,0,0,1,0,0,0,2.697644,2.714642,2.093689,2,2,104,.03214509,-1.4277468,.68293655,.00770996,-4.4838891,6.3390002,59,6.0104446,7.2209997,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3.96,4.0300002,8.8999996,15.75,0,1,0,1,0,1,0,.085351668,79.209991,248.0625,15.681601,16.240902,386.77774,66.292168,60.715267,9.7193832,9.7306519,81,40.182922,36.125446,160.12599,153.24266,63.442467,19.773872,25.398149,24.30636,.91133279,21964218,21020042,8415029,49.39349,51.612141,402.1618,194.33333,66.268501,57.241997,3.9850643,12.351923,4.1376848,12.363047,12.778,3793.3413,18.748978
1,4,201,.0063531511,1.095,.97083336,7.1000452,1.1189061,.97280562,0,9.9949999,8.54,.89999998,677954.5,1,0,0,0,0,0,0,0,2.697644,2.714642,2.093689,2,1,104,.098519646,-2.7413051,.68293655,.0063531511,-4.6774511,0,0,6.0104446,7.2209997,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3.96,4.0300002,8.8999996,15.75,0,0,1,1,1,0,0,1.251951,79.209991,248.0625,15.681601,16.240902,0,99.900024,72.931602,.9425174,.94635075,81,0,36.125446,0,0,85.3573,0,9.7231922,8.3077602,1.0884782,26962952,23037880,2624283.3,0,0,0,214,64.415497,56.493996,3.1603143,14.498682,3.3109288,14.50964,19.117001,3639.0889,5.8469944
1,4,202,.062676668,.76499999,.97083336,7.1000452,.78890616,.97280562,0,9.9949999,8.54,.89999998,677954.5,0,1,0,0,0,0,0,0,2.697644,2.714642,2.093689,2,1,104,.098519646,-.45226672,.68293655,.062676668,-2.3884127,0,0,6.0104446,7.2209997,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3.96,4.0300002,8.8999996,15.75,0,0,1,1,1,0,0,.62237293,79.209991,248.0625,15.681601,16.240902,0,99.900024,72.931602,.9425174,.94635075,81,0,36.125446,0,0,85.3573,0,9.7231922,8.3077602,.76745236,26962952,23037880,2624283.3,0,0,0,214,64.415497,56.493996,3.4903145,14.498682,3.6409287,14.50964,19.117001,3639.0889,5.8469944
1,4,303,.00057674898,.22541668,3.2400658,6.5042524,.24731676,3.2418723,19.666666,9.8155003,7.7920003,.89999998,677954.5,0,0,0,0,0,1,0,0,2.697644,2.714642,2.093689,2,2,104,.03214509,-4.0206079,.68293655,.00057674898,-7.0767503,6.3390002,59,6.0104446,7.2209997,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3.96,4.0300002,8.8999996,15.75,0,1,0,1,0,1,0,.061165582,79.209991,248.0625,15.681601,16.240902,386.77774,96.344048,60.715267,10.498027,10.509736,81,40.182922,36.125446,193.03816,153.24266,76.482384,20.55023,31.820599,25.26067,.80176938,26478726,21020042,8745417,49.39349,62.220459,484.82184,194.33333,64.595001,57.241997,4.0298977,12.22945,4.182518,12.240574,12.778,3697.5469,19.485094
1,5,302,0,.5406667,5.686111,6.5042524,.56256676,5.6879182,19.666666,8.1420002,7.7920003,3.9400001,576738.31,0,0,0,0,1,0,0,0,2.697644,1.883562,1.512778,2,2,105,.020306081,-226.36168,.62765414,1.0000000e-10,-22.560085,6.3390002,59,6.0104446,7.2209997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.1199999,4.0300002,6.7399998,15.75,0,1,0,1,0,1,0,.31648135,45.427597,248.0625,16.9744,16.240902,386.77774,66.292168,60.715267,32.33186,32.352413,1552.3601,40.182922,36.125446,160.12599,153.24266,63.442467,36.055714,46.311031,44.320259,3.1998336,21964218,21020042,15343978,49.39349,51.612141,402.1618,174.66666,56.453003,49.450001,6.9367876,14.837738,7.0675077,14.847055,6.4390006,2791.6011,34.186916
1,5,301,.020306081,.70133328,4.1607456,6.5042524,.7232334,4.1625524,19.666666,8.3169994,7.7920003,3.9400001,576738.31,0,0,0,1,0,0,0,0,2.697644,1.883562,1.512778,2,2,105,.020306081,0,.62765414,.020306081,-3.4310689,6.3390002,59,6.0104446,7.2209997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.1199999,4.0300002,6.7399998,15.75,0,1,0,1,0,1,0,.52306658,45.427597,248.0625,16.9744,16.240902,386.77774,69.172478,60.715267,17.311804,17.326841,1552.3601,40.182922,36.125446,163.56766,153.24266,64.806061,26.386421,34.619946,32.434608,3.0104969,22436304,21020042,11229084,49.39349,52.721462,410.80563,174.66666,56.278,49.450001,6.7761211,16.363104,6.9068413,16.372421,6.4390006,2782.947,25.018791
1,5,202,.091000021,1.48,1.7291666,7.1000452,1.5039061,1.7311388,0,9.9949999,8.54,3.9400001,576738.31,0,1,0,0,0,0,0,0,2.697644,1.883562,1.512778,2,1,105,.11717417,-.25280181,.62765414,.091000021,-1.9311296,0,0,6.0104446,7.2209997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.1199999,4.0300002,6.7399998,15.75,0,0,1,1,1,0,0,2.2617335,45.427597,248.0625,16.9744,16.240902,0,99.900024,72.931602,2.9900172,2.9968417,1552.3601,0,36.125446,0,0,85.3573,0,17.302732,14.783925,2.6034703,26962952,23037880,4669996.5,0,0,0,194.33333,54.600002,48.702,5.9974542,18.794683,6.1261683,18.803835,12.778001,2659.1294,10.404914
1,5,203,.020626681,1.4349999,1.7291666,7.1000452,1.4589062,1.7311388,0,9.9949999,8.54,3.9400001,576738.31,0,0,1,0,0,0,0,0,2.697644,1.883562,1.512778,2,1,105,.11717417,-1.737076,.62765414,.020626681,-3.4154038,0,0,6.0104446,7.2209997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.1199999,4.0300002,6.7399998,15.75,0,1,0,1,1,0,0,2.1284072,45.427597,248.0625,16.9744,16.240902,0,99.900024,72.931602,2.9900172,2.9968417,1552.3601,0,36.125446,0,0,85.3573,0,17.302732,14.783925,2.5255692,26962952,23037880,4669996.5,0,0,0,194.33333,54.600002,48.702,6.0424542,18.794683,6.1711683,18.803835,12.778001,2659.1294,10.404914
1,5,201,.0055474751,1.955,1.7291666,7.1000452,1.9789062,1.7311388,0,9.9949999,8.54,3.9400001,576738.31,1,0,0,0,0,0,0,0,2.697644,1.883562,1.512778,2,1,105,.11717417,-3.0503187,.62765414,.0055474751,-4.7286463,0,0,6.0104446,7.2209997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.1199999,4.0300002,6.7399998,15.75,0,0,1,1,1,0,0,3.9160695,45.427597,248.0625,16.9744,16.240902,0,99.900024,72.931602,2.9900172,2.9968417,1552.3601,0,36.125446,0,0,85.3573,0,17.302732,14.783925,3.4257612,26962952,23037880,4669996.5,0,0,0,194.33333,54.600002,48.702,5.5224543,18.794683,5.6511683,18.803835,12.778001,2659.1294,10.404914
1,5,502,.002528135,1.0104543,1.1561588,5.3729219,1.0285451,1.1561837,77.5,9.0290003,8.3059998,3.9400001,576738.31,0,0,0,0,0,0,0,1,2.697644,1.883562,1.512778,2,5,105,.002528135,0,.62765414,.002528135,-5.5145073,.050000001,720,6.0104446,7.2209997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.1199999,4.0300002,6.7399998,15.75,1,0,1,0,0,0,1,1.0579051,45.427597,248.0625,16.9744,16.240902,6006.25,81.522842,68.989632,1.3367032,1.3367608,1552.3601,.0025000002,36.125446,699.7475,643.71497,74.994873,.057809185,10.439183,9.6032619,1.1891872,24357028,22406630,3118972,.41529998,.45145002,3.7497437,116.83333,55.566002,48.936001,6.467,19.367691,6.6015291,19.37879,12.728001,2719.178,6.9491782
